frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
20,0,1.267,0.98,1,0.37,0.70,0.73,0.00,0.00,0.00,0.00,0.01,0.00,0.97,0.00,0.09,0.00,1.21,0.25,0.11,0.58,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
21,0,1.333,0.98,1,0.35,0.62,0.60,0.00,0.00,0.00,0.00,0.01,0.00,1.00,0.00,0.11,0.00,1.26,0.24,0.11,0.48,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
22,0,1.400,0.98,1,0.35,0.54,0.55,0.00,0.00,0.00,0.00,0.01,0.00,1.07,0.00,0.13,0.00,1.25,0.26,0.18,0.39,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
23,0,1.467,0.98,1,0.29,0.45,0.57,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.21,0.00,1.19,0.28,0.29,0.45,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
24,0,1.533,0.98,1,0.26,0.39,0.64,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.24,0.00,1.15,0.30,0.29,0.53,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
25,0,1.600,0.98,1,0.28,0.46,0.71,0.00,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.27,0.00,1.13,0.26,0.28,0.58,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
26,0,1.667,0.98,1,0.33,0.62,0.81,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.19,0.00,1.10,0.28,0.19,0.61,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
27,0,1.733,0.98,1,0.38,0.75,0.83,0.00,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.14,0.00,1.09,0.32,0.19,0.58,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,0,1.800,0.98,1,0.35,0.68,0.81,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.00,0.09,0.00,1.10,0.31,0.17,0.70,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0,1.867,0.98,1,0.34,0.65,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.15,0.00,1.11,0.24,0.17,0.83,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,0,1.933,0.98,1,0.34,0.59,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.14,0.00,1.10,0.29,0.24,0.83,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0,2.000,0.98,1,0.30,0.60,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.20,0.00,1.16,0.24,0.25,0.70,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0,2.067,0.98,1,0.23,0.58,0.68,0.00,0.00,0.00,0.00,0.01,0.00,1.02,0.00,0.15,0.00,1.17,0.26,0.36,0.61,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
33,0,2.133,0.98,1,0.18,0.60,0.73,0.00,0.00,0.00,0.00,0.02,0.00,1.07,0.00,0.14,0.00,1.19,0.27,0.28,0.66,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
34,0,2.200,0.98,1,0.25,0.69,0.81,0.00,0.00,0.00,0.00,0.06,0.00,1.07,0.00,0.13,0.00,1.16,0.32,0.27,0.63,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
35,0,2.267,0.98,1,0.25,0.67,0.75,0.00,0.00,0.00,0.00,0.04,0.00,1.09,0.00,0.12,0.00,1.20,0.30,0.26,0.70,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0,2.333,0.98,1,0.22,0.57,0.72,0.00,0.00,0.00,0.00,0.03,0.00,1.06,0.00,0.13,0.00,1.21,0.21,0.28,0.77,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,0,2.400,0.98,1,0.14,0.39,0.65,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,0.07,0.00,1.20,0.20,0.27,0.82,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
